,Sentence,label_word,label
0,홍진영 언니 연기 잘 해 얼굴두 이쁘구 노래두 잘 부르구 끼도 많음 나는 퍽,긍정,0
1,그동안 열심히 앞만 보면서 묵묵히 살아왔는데 건강이 많이 안 좋다고 하네 열심히 살아온 게 억울하다는 생각까지 드네,부정,1
2,나를 떨리게 하나요 부터 완전 끌림 장범준 노래 멋져요,긍정,0
3,도움이 되었습니다 감사합니다,긍정,0
4,똥이 묻었노 ,욕설,2
5,저런 새 기들 땜에 얼마 전에 문 신충한테 쳐 맞은 택시 기사도 잘 쳐 맞았다는 소리가 나오는거다,욕설,2
6, 넌 모르지 떨군 고개 위 환한 빛 조명이 어딜 비추는지 이 가사가 특히 전 좋더라구요 위로 받는 듯한 느낌이었어요 항상 당신을 응원 해요 정말로 요,긍정,0
7,돼지 뱐태 천생 아줌마 지 어미 닮아 돼지 년이지 뭐 ‼‼‼,욕설,2
8,내가 제일 좋아하는 노래 중 하나에요  댓글은 늦게 달지만 전부터 아주 자주 노래 듣고 있습니다,긍정,0
9,우리 언니는 맨날 나한테 지적 질 하면서 자기 잘못은 인정 하려 하지 않아 스트레스 받아,부정,1
10,역시 여자는 말라야 좋치 속으로는 마른 여자 좋아하면서 솔 찍해 집시다,욕설,2
11,너 모 이쁘다 20 대 같고 엄청 곱다 진영언니 사랑스러,긍정,0
12,완전 좋아 목소리 좋아요,긍정,0
13,아 피아노 소리도 좋 고승 윤님 목소리도 감미롭고 계속 듣고 있는 나 그 해 우리는 쉬었다 가는 그늘 이었음을,긍정,0
14,역시 카이스트 입니다  훌륭하신 섬기는 겸손한 괴짜 천재 총장님 귀여우시고 존경 스러워요 거위 키우신게 총장님이 시작이라니 히히히 고네 기 채널에서 아기 거위들 입양 보낸다더니 거기로 가겠네요 엄청 건강하게 자라겠어요 총장님이 산책 하다가 이뻐 해주시 겠네용 총장님 같은 분들이 위에 계시면 절로 일도 공부도 잘 될 것 같아요,긍정,0
15,형은 틈만 나면 자기가 만났던 여자들을 평가하 곤 하는데 혐오 스러워,부정,1
16,와 전에 이 노래는 빠졌다고 해서 아쉬웠는데 이렇게 영상으론 있었구나 역시 좋다 제 발음원,긍정,0
17,박해미 정도 글래머면 이혼하고 재결합까지도 얼 마안 걸릴듯 아직도 섹시해서 돈 있는 영감님 들 사이에선 최고 의인 기녀지,욕설,2
18,열 불 나는 일이 생겼어 다른 부서 동료들이 내가 속한 팀이 힘이 없는 조직이라 비웃네,부정,1
19,학폭위에서 내가 당했던 일을 폭력으로 인정 할 수 없대,부정,1
20,죽음이란 게 어이없는 일인 것 같아,부정,1
21,자기 껍데기 지키 자고 사랑 하는 사람을 시험에 들게 하는 연수 성격 짜증나고 싫은 유형인데 중반 이후부터 그렇게 비겁하고 짜증나는 행동 패턴 안쪽에 꽁꽁 숨겨져 있는 진심이 보이게 스토리와 연출이 절묘하게 짜여져있네요 두 배우들 매력도 차고 넘치고요 짜증나면서도 가슴 한 켠이 간질거려서 끝까지 보게 됩니다 ,긍정,0
22, 일게이 병신들아  예수 존나 까더니  보지 땜에 신경도 안 쓰네 ,욕설,2
23,선배가 잘 못 된 자격증 정보를 알려주는 바람에 시간만 날렸어,부정,1
24,난 술을 일주일에 다섯 번 이상 마시는데 요즘 몸이 안 좋은 것 같아서 한심해,부정,1
25,꺄아 아악 승 윤씨인지 몰랐어요 이럴수가 이럴수가 아 승 윤씨…… 멋져용,긍정,0
26,내 부모님은 내가 친구들과 어울려 다니는 걸 마음에 안 들어 하셔,부정,1
27,아무 기념일도 아닌데 내 친구가 내 아내에게 꽃다발을 선물 해줘서 기분이 안좋아,부정,1
28,야근까지 하면서 열심히 준비 했는데 프로젝트가 무산 됐어,부정,1
29,휴게소에서 화장실에 간다 말 했는데 가족이 날 기다리지 않고 가버렸어,부정,1
30,젠 신 병자들 성형 정보 공유 까 펜 가보노 잘 왔다이기 야노,욕설,2
31,내 가족들을 오래 보고 가고 싶은데 나도 얼마 남지 않은 거 같아서 다가올 미래가 걱정이 돼,부정,1
32,깨 시민이라고 자처 하는 진보 진영에서는 좋아하겠군 그러나 정신병,욕설,2
33,홍진영누나는  아오 대박이네,긍정,0
34,내가 건강한 편이라 주변 지인들이 먼저 세상을 떠나 슬퍼,부정,1
35,ㅂ 더럽게 메 갈어로 제목 뽑는거 봐라,욕설,2
36,간만에 무공 해 물 같은 담백한 드라마 다 좋아요 연기 영 상미 언덕 나무 등 모든 ost,긍정,0
37,내 친구가 내 꿈을 비난 해서 상처 받았어,부정,1
38,아니 왜 잠 못들게 하시는데요  장범준 최고야 사랑 해요 하고 싶은 거 다하고 하고 싶은 노래 다 하고 하고 싶은 작사 작곡 다해요  이번 노래는 좀 힘 빼고 불렀는지 창법을 좀 색다르게 하신 건지 색다른데 좋아   말로 표현 못하고 다 좋아요  새벽에 들으면서 감성 터진다 평생 노래 불러주세요 ,긍정,0
39, 광고가 이렇게 재밌는건 숏박스가 처음이에요 쭉 이렇게 재밌는거 많이 만들어주시고 돈 많이 버세요,긍정,0
40,143초 아이유 귀여워,긍정,0
41,기적이 일어났네요 감사합니다 복 많이 받으시길 빕니다,긍정,0
42,예쁜 목소리 감사해요 힘들고 무거운 마음을 조금이나마 녹여주는 것 같아요,긍정,0
43,똥 양인으로 태어난거부터가 인생 조진거 임 ,욕설,2
44,연기 하는 게 아니고 진짜로 둘이 실제 꼭 그렇게 사랑 하는 것 같다 완전 리얼하고 완전 아름답고 완전 명작이다,긍정,0
45,최고의 flex,긍정,0
46,이 시대의 영웅,긍정,0
47,와 다시 보니까 거의 20분 짜리 영상 이었구나 이런거 볼 때 마다 티원 팬 하길 잘 했다는 생각이 든다 그 전성기 시절 skt 는 직접 보지 못 했던 나에게 skt 를 넘어 보이겠다는 말이 여러 모로 의미가 크네요,긍정,0
48,으 짤 존나 극 혐 이노,욕설,2
49,예쁜 목소리 감사해요 힘들고 무거운 마음을 조금이나마 녹여주는 것 같아요,긍정,0
50,나쁜 건 친구들인데 왜 나한테 참으라고 하는 거지,부정,1
51,내 아내는 진절머리가 나 냉장고에 맛있는 음식이 있길래 꺼내 먹었더니 나한테 뭐라 하는 거 있지,부정,1
52,남자라서 더럽다 낮에 커피숍 가봐라 아줌마들 삼 산 오오 모여서 남자 얘기 겁나해 댄다 그런건 안 더럽지 남자 여자가 아니라 케바케로 더러운거다 싸잡아 욕 하지마라 좀,욕설,2
53,그레이 해커도 있다고 들었는데 이 관련 설명도 듣고 싶네요 그래도 유익한 영상 감사합니다,긍정,0
54,오크 멜 갈 김치들이 한 남피가 흐르는 헤니를 감히 넘 보내 니들 빻은 면상이나 봐라  어딜 감히 넘 봐,욕설,2
55,댓글 수 보소 학 실히 암놈 숫놈 짝짓기에 관심 도가 존니 높노 천박하고 천 한 것들,욕설,2
56,니미 애 미 씹 보지 븅신아 ,욕설,2
57,자아 성찰 잘 하네 쟤네 다 개돼지 냄새 나는 ㅌㅊ 맞잖아,욕설,2
58,노래는 좋았는데 앞으로 홍진영 누님 신곡 안 나오면 아쉽긴 할듯,긍정,0
